asn,filtering,confidence,source
174,peers,1,cloudflare
174,all,0.2,tma
286,peers,1,cloudflare
553,peers,1,cloudflare
786,peers,1,cloudflare
852,peers,1,cloudflare
852,all,0.663551,rov.rpki.net
1103,all,0.957895,rov.rpki.net
1136,peers,1,cloudflare
1140,all,0.962667,rov.rpki.net
1200,all,1,tma
1213,peers,1,cloudflare
1221,peers,1,cloudflare
1239,peers,1,cloudflare
1241,all,1,tma
1299,peers,1,cloudflare
1299,all,0.2,tma
1403,peers,1,cloudflare
1764,peers,1,cloudflare
1798,all,0.117986,rov.rpki.net
2119,peers,1,cloudflare
2497,all,1,cloudflare
2611,peers,1,cloudflare
2852,peers,1,cloudflare
2860,peers,1,cloudflare
2906,peers,1,cloudflare
2914,peers,1,cloudflare
2914,all,0.2,tma
3130,all,0.00434783,rov.rpki.net
3252,all,0.810976,rov.rpki.net
3257,peers,1,cloudflare
3257,all,0.2,tma
3265,peers,1,cloudflare
3265,all,1,tma
3267,all,0.902857,rov.rpki.net
3280,all,0.0735294,rov.rpki.net
3292,peers,1,cloudflare
3303,peers,1,cloudflare
3303,all,1,tma
3303,all,0.0515021,rov.rpki.net
3356,peers,1,cloudflare
3399,peers,1,cloudflare
3462,peers,1,cloudflare
3491,peers,1,cloudflare
4764,peers,1,cloudflare
4826,peers,1,cloudflare
5089,peers,1,cloudflare
5394,all,0.952113,rov.rpki.net
5413,all,0.00429185,rov.rpki.net
5511,peers,1,cloudflare
5539,peers,1,cloudflare
6079,peers,1,cloudflare
6453,peers,1,cloudflare
6830,all,1,cloudflare
6866,peers,1,cloudflare
6871,peers,1,cloudflare
6939,peers,1,cloudflare
6939,all,1,tma
6939,all,0.97644,rov.rpki.net
7018,all,1,cloudflare
7195,peers,1,cloudflare
7575,all,0.127168,rov.rpki.net
7642,peers,1,cloudflare
7713,all,0.963061,rov.rpki.net
7922,peers,1,cloudflare
8075,peers,1,cloudflare
8194,all,0.2,tma
8218,all,0.118026,rov.rpki.net
8283,peers,1,cloudflare
8283,all,1,tma
8283,all,0.935841,rov.rpki.net
8359,all,0.2,tma
8492,all,0.552217,rov.rpki.net
8758,all,0.753754,rov.rpki.net
8764,all,0.2,tma
8767,peers,1,cloudflare
9002,peers,1,cloudflare
9136,peers,1,cloudflare
9304,all,0.836601,rov.rpki.net
9443,peers,1,cloudflare
10026,all,0.85,rov.rpki.net
11537,all,0.2,tma
11708,all,0.283737,rov.rpki.net
12297,all,0.2,tma
12337,peers,1,cloudflare
12576,peers,1,cloudflare
12637,all,0.856209,rov.rpki.net
12779,all,0.971053,rov.rpki.net
12859,all,0.947368,rov.rpki.net
12876,peers,1,cloudflare
13188,peers,1,cloudflare
13237,all,0.89759,rov.rpki.net
13335,peers,1,cloudflare
13786,all,0.0416667,rov.rpki.net
14061,all,1,cloudflare
14282,peers,1,cloudflare
14525,peers,1,cloudflare
14840,all,0.386842,rov.rpki.net
14907,peers,1,cloudflare
14907,all,0.880795,rov.rpki.net
15435,peers,1,cloudflare
15435,all,0.854305,rov.rpki.net
15547,all,0.864035,rov.rpki.net
15576,peers,1,cloudflare
16347,all,0.0424107,rov.rpki.net
16509,peers,1,cloudflare
16552,all,0.925,rov.rpki.net
17147,peers,1,cloudflare
17451,peers,1,cloudflare
17639,all,0.0726644,rov.rpki.net
18106,peers,1,cloudflare
18106,all,1,tma
18106,all,0.751783,rov.rpki.net
18209,peers,1,cloudflare
19016,all,0.269444,rov.rpki.net
20562,all,0.863839,rov.rpki.net
20764,all,0.305907,rov.rpki.net
20766,all,0.894118,rov.rpki.net
20932,all,0.285088,rov.rpki.net
20953,all,0.968,rov.rpki.net
20965,peers,1,cloudflare
22773,peers,1,cloudflare
23106,all,0.191781,rov.rpki.net
24309,peers,1,cloudflare
24482,all,0.885496,rov.rpki.net
24516,all,0.55409,rov.rpki.net
24875,all,0.942105,rov.rpki.net
24961,all,0.635135,rov.rpki.net
25091,all,0.868421,rov.rpki.net
25160,all,0.829646,rov.rpki.net
25220,all,0.852321,rov.rpki.net
25227,all,0.00234742,rov.rpki.net
25369,peers,1,cloudflare
27400,peers,1,cloudflare
28126,peers,1,cloudflare
28186,peers,1,cloudflare
28220,all,0.028133,rov.rpki.net
28260,all,0.25,rov.rpki.net
28263,peers,1,cloudflare
28329,peers,1,cloudflare
28634,all,0.0732759,rov.rpki.net
28792,all,0.266667,rov.rpki.net
28917,all,0.75502,rov.rpki.net
29075,all,0.85209,rov.rpki.net
29140,all,0.697674,rov.rpki.net
29208,all,1,tma
29413,peers,1,cloudflare
29467,all,0.930556,rov.rpki.net
29518,peers,1,cloudflare
29695,peers,1,cloudflare
30132,all,0.850549,rov.rpki.net
30736,peers,1,cloudflare
30781,peers,1,cloudflare
30781,all,1,tma
30844,all,0.725191,rov.rpki.net
31019,all,0.968421,rov.rpki.net
31424,all,0.854077,rov.rpki.net
31472,peers,1,cloudflare
32097,all,0.294118,rov.rpki.net
33891,peers,1,cloudflare
33986,peers,1,cloudflare
34019,all,0.971014,rov.rpki.net
34177,all,0.857143,rov.rpki.net
34224,all,0.927505,rov.rpki.net
34288,all,0.898571,rov.rpki.net
34968,all,0.947368,rov.rpki.net
35280,peers,1,cloudflare
35432,peers,1,cloudflare
35612,peers,1,cloudflare
36236,all,0.893162,rov.rpki.net
36351,all,0.170807,rov.rpki.net
36352,peers,1,cloudflare
37100,all,1,tma
37100,all,0.900826,rov.rpki.net
37468,all,0.925234,rov.rpki.net
37497,all,0.846269,rov.rpki.net
37697,all,0.00961538,rov.rpki.net
38001,all,0.7,rov.rpki.net
38880,all,0.970588,rov.rpki.net
39120,all,0.947735,rov.rpki.net
39122,all,0.913121,rov.rpki.net
39351,all,0.756798,rov.rpki.net
39591,all,0.951219,rov.rpki.net
39839,peers,1,cloudflare
41000,peers,1,cloudflare
41164,peers,1,cloudflare
41327,all,0.644599,rov.rpki.net
42541,all,0.930693,rov.rpki.net
42831,peers,1,cloudflare
42861,all,0.886957,rov.rpki.net
43376,all,0.894737,rov.rpki.net
43578,all,0.00235849,rov.rpki.net
43607,all,0.0344828,rov.rpki.net
44530,peers,1,cloudflare
45177,peers,1,cloudflare
45352,all,0.885222,rov.rpki.net
46664,peers,1,cloudflare
46997,all,0.723404,rov.rpki.net
47147,peers,1,cloudflare
47147,all,0.927336,rov.rpki.net
47441,all,0.666667,rov.rpki.net
47524,peers,1,cloudflare
48292,all,0.6,rov.rpki.net
48362,all,0.865546,rov.rpki.net
48526,all,0.522565,rov.rpki.net
49375,all,0.5,rov.rpki.net
49463,all,0.4,rov.rpki.net
49605,all,0.867102,rov.rpki.net
49697,all,0.0106762,rov.rpki.net
49709,all,1.0,rov.rpki.net
49752,all,0.00361011,rov.rpki.net
50300,all,0.753754,rov.rpki.net
50304,all,0.878788,rov.rpki.net
50581,all,0.2,tma
50673,all,0.851724,rov.rpki.net
50763,all,0.801105,rov.rpki.net
51088,peers,1,cloudflare
51088,all,0.971053,rov.rpki.net
51185,all,0.87963,rov.rpki.net
51999,peers,1,cloudflare
52320,all,0.691589,rov.rpki.net
52873,peers,1,cloudflare
53828,all,0.127143,rov.rpki.net
54455,peers,1,cloudflare
54825,all,1,cloudflare
55536,peers,1,cloudflare
55805,peers,1,cloudflare
56655,peers,1,cloudflare
56665,all,0.881944,rov.rpki.net
57111,all,0.80814,rov.rpki.net
57463,all,0.855051,rov.rpki.net
58057,all,0.0625,rov.rpki.net
58511,all,0.974922,rov.rpki.net
58820,peers,1,cloudflare
59605,all,0.211454,rov.rpki.net
60422,peers,1,cloudflare
60501,all,0.909836,rov.rpki.net
60876,peers,1,cloudflare
61317,all,1,cloudflare
61568,all,0.2,tma
61568,all,0.0104712,rov.rpki.net
61785,peers,1,cloudflare
61955,all,0.173333,rov.rpki.net
63023,peers,1,cloudflare
63927,all,0.966102,rov.rpki.net
63956,all,0.102874,rov.rpki.net
64271,all,0.88125,rov.rpki.net
132335,peers,1,cloudflare
198290,all,0.00223214,rov.rpki.net
199524,all,0.96,rov.rpki.net
199938,all,0.870748,rov.rpki.net
200130,all,0.0238095,rov.rpki.net
203900,all,0.683544,rov.rpki.net
204151,peers,1,cloudflare
205668,peers,1,cloudflare
207841,peers,1,cloudflare
211562,peers,1,cloudflare
262659,peers,1,cloudflare
263009,all,0.96,rov.rpki.net
263444,peers,1,cloudflare
264130,peers,1,cloudflare
265656,peers,1,cloudflare
266534,all,0.0428571,rov.rpki.net
267613,all,0.133333,rov.rpki.net
327960,all,0.0245098,rov.rpki.net
393891,peers,1,cloudflare
394256,peers,1,cloudflare
397143,peers,1,cloudflare
397388,peers,1,cloudflare
